SMILES,predicted_pchembl,hERG,DILI,Caco2
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OCCl)C(=O)O2,10.652671813964844,0.73,0.755,-4.694448412499998
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,10.640268325805664,0.675,0.745,-4.876809703800001
CCc1cc2ncnc(N(O)c3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.611997604370117,0.60125,0.655,-5.000529362833337
CNc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.600173950195312,0.66,0.765,-5.104076913083329
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OCF)C(=O)O2,10.584228515625,0.76,0.755,-4.696232867999997
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(C[SH](C)C2)OC1=O,10.534887313842773,0.665,0.805,-4.698239237733332
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OF)C(=O)O2,10.53271484375,0.69,0.765,-4.644968935549997
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1F,10.519754409790039,0.69,0.775,-4.960353365408334
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1C1CC2(CN(C)C2)OC1=O,10.473766326904297,0.73,0.72,-4.887993257483333
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1S,10.465471267700195,0.68,0.78,-4.6802928751499975
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(CO)C2)OC1=O,10.405744552612305,0.765,0.71,-4.864906510916667
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.392681121826172,0.71,0.75,-4.684401065733333
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=S,10.365791320800781,0.685,0.71,-4.6677224305666645
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2nc1N1CC2(CN(C)C2)OC1=O,10.349031448364258,0.695,0.705,-4.649786103899998
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1O,10.328598022460938,0.67,0.755,-4.855772085791668
CN1CCC2(CC1)CN(c1cnc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,10.315103530883789,0.7525,0.745,-4.6228855301166645
CSc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,10.296287536621094,0.72,0.7,-4.731334008583332
CCOc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.280488967895508,0.735,0.745,-4.688705303999999
CN1CCC2(CC1)CN(c1cnc3ncnc(Nc4cccc(Cl)c4F)c3n1)C(=O)O2,10.232091903686523,0.705,0.69,-4.53735042440833
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1N,10.212602615356445,0.675,0.775,-4.850913670616664
