SMILES,predicted_pchembl,origin,QED,R1,R2,R3,R4,R5,R6
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1CCCl)C(=O)O2,11.122966766357422,WT,0.544,Cl[*:1],F[*:2],[H][*:3],[H][*:4],ClCC[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1SCO)C(=O)O2,10.934209823608398,WT,0.425,Cl[*:1],F[*:2],[H][*:3],[H][*:4],OCS[*:5],C[*:6]
CSc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.796619415283203,WT,0.575,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CS[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1Cl)C(=O)O2,10.681598663330078,WT,0.638,Cl[*:1],F[*:2],[H][*:3],[H][*:4],Cl[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4Cl)ncnc3cc1O)C(=O)O2,10.672967910766602,WT,0.628,Cl[*:1],Cl[*:2],[H][*:3],[H][*:4],O[*:5],C[*:6]
O=C1OC2(CN(CS)C2)CN1c1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1O,10.65098762512207,WT,0.509,Cl[*:1],F[*:2],[H][*:3],[H][*:4],O[*:5],SC[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4S)ncnc3cc1O)C(=O)O2,10.641944885253906,WT,0.532,Cl[*:1],S[*:2],[H][*:3],[H][*:4],O[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,10.640268325805664,WT,0.658,Cl[*:1],F[*:2],[H][*:3],[H][*:4],O[*:5],C[*:6]
CCSN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,10.609079360961914,WT,0.519,Cl[*:1],F[*:2],[H][*:3],[H][*:4],O[*:5],CCS[*:6]
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.392681121826172,WT,0.656,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CO[*:5],C[*:6]
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(SCF)C2)OC1=O,10.392522811889648,WT,0.492,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CO[*:5],FCS[*:6]
CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,10.350711822509766,WT,0.59,Cl[*:1],F[*:2],[H][*:3],[H][*:4],O[*:5],CCC[*:6]
CCSN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,10.160385131835938,WT,0.492,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CO[*:5],CCS[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OCCl)C(=O)O2,10.652671813964844,MO-GA,0.546,Cl[*:1],F[*:2],[H][*:3],[H][*:4],ClCO[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1O)C(=O)O2,10.640268325805664,MO-GA,0.658,Cl[*:1],F[*:2],[H][*:3],[H][*:4],O[*:5],C[*:6]
CCc1cc2ncnc(N(O)c3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.611997604370115,MO-GA,0.589,Cl[*:1],F[*:2],O[*:3],[H][*:4],CC[*:5],C[*:6]
CNc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.600173950195312,MO-GA,0.635,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CN[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OCF)C(=O)O2,10.584228515625,MO-GA,0.612,Cl[*:1],F[*:2],[H][*:3],[H][*:4],FCO[*:5],C[*:6]
CN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OF)C(=O)O2,10.53271484375,MO-GA,0.645,Cl[*:1],F[*:2],[H][*:3],[H][*:4],FO[*:5],C[*:6]
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1F,10.51975440979004,MO-GA,0.63,Cl[*:1],F[*:2],[H][*:3],F[*:4],CO[*:5],C[*:6]
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1S,10.465471267700195,MO-GA,0.55,Cl[*:1],F[*:2],[H][*:3],S[*:4],CO[*:5],C[*:6]
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(CO)C2)OC1=O,10.405744552612305,MO-GA,0.6,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CO[*:5],OC[*:6]
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,10.392681121826172,MO-GA,0.656,Cl[*:1],F[*:2],[H][*:3],[H][*:4],CO[*:5],C[*:6]
COc1c(N2CC3(CN(C)C3)OC2=O)cc2c(Nc3cccc(Cl)c3F)ncnc2c1O,10.328598022460938,MO-GA,0.611,Cl[*:1],F[*:2],[H][*:3],O[*:4],CO[*:5],C[*:6]
