Candidate_ID,Pred_pChEMBL_Mean,Epistemic_Uncertainty_Std,Confidence_Group
WT_Cand_1,7.421,0.071,High-Confidence (Std <= 0.20)
WT_Cand_2,6.691,0.028,High-Confidence (Std <= 0.20)
WT_Cand_3,7.595,0.116,High-Confidence (Std <= 0.20)
WT_Cand_4,8.601,0.085,High-Confidence (Std <= 0.20)
WT_Cand_5,6.581,0.146,High-Confidence (Std <= 0.20)
WT_Cand_6,6.581,0.45,Low-Confidence (Filtered Out)
WT_Cand_7,8.666,0.307,Low-Confidence (Filtered Out)
WT_Cand_8,7.733,0.261,Low-Confidence (Filtered Out)
WT_Cand_9,6.31,0.015,High-Confidence (Std <= 0.20)
WT_Cand_10,7.474,0.26,Low-Confidence (Filtered Out)
WT_Cand_11,6.317,0.246,Low-Confidence (Filtered Out)
WT_Cand_12,6.314,0.182,High-Confidence (Std <= 0.20)
WT_Cand_13,7.128,0.116,High-Confidence (Std <= 0.20)
WT_Cand_14,4.65,0.057,High-Confidence (Std <= 0.20)
WT_Cand_15,4.866,0.148,High-Confidence (Std <= 0.20)
WT_Cand_16,6.203,0.208,Low-Confidence (Filtered Out)
WT_Cand_17,5.685,0.266,Low-Confidence (Filtered Out)
WT_Cand_18,7.211,0.069,High-Confidence (Std <= 0.20)
WT_Cand_19,5.806,0.098,High-Confidence (Std <= 0.20)
WT_Cand_20,5.226,0.102,High-Confidence (Std <= 0.20)
WT_Cand_21,8.535,0.025,High-Confidence (Std <= 0.20)
WT_Cand_22,6.59,0.367,Low-Confidence (Filtered Out)
WT_Cand_23,6.928,0.394,Low-Confidence (Filtered Out)
WT_Cand_24,5.212,0.062,High-Confidence (Std <= 0.20)
WT_Cand_25,6.224,0.522,Low-Confidence (Filtered Out)
WT_Cand_26,6.978,0.12,High-Confidence (Std <= 0.20)
WT_Cand_27,5.526,0.263,Low-Confidence (Filtered Out)
WT_Cand_28,7.282,0.25,Low-Confidence (Filtered Out)
WT_Cand_29,6.159,0.004,High-Confidence (Std <= 0.20)
WT_Cand_30,6.515,0.154,High-Confidence (Std <= 0.20)
WT_Cand_31,6.158,0.057,High-Confidence (Std <= 0.20)
WT_Cand_32,8.98,0.011,High-Confidence (Std <= 0.20)
WT_Cand_33,6.834,0.174,High-Confidence (Std <= 0.20)
WT_Cand_34,5.634,0.234,Low-Confidence (Filtered Out)
WT_Cand_35,7.796,0.081,High-Confidence (Std <= 0.20)
WT_Cand_36,5.446,0.164,High-Confidence (Std <= 0.20)
WT_Cand_37,7.09,0.381,Low-Confidence (Filtered Out)
